username,name,contact_num,email_id
Itl_ser,Italiano Services,9879870001,italiano_services@gmail.com
chi_dragon,Chinese Dragon Caterers,9034732843,chinese_dragon@gmail.com
lil_itl,Little Italy Caterers,9883492842,liltle_italy@gmail.com
shaan_aw,Shaan E Awadh,8082304823,shan_e_awadh@gmail.com
maha_cat,Maharaja Caterers,7093243204,maharaja_caterers@gmail.com
per_flow,Perfect Flowers,9092234840,perfect_flowers@gmail.com
fnp,Ferns and Petals,8023234589,ferens_and_petals@gmail.com
pump_it_up,Pump it Up Decorators,9083242384,pump_it_up@gmail.com
roy_wed,Royal Wedding Decorators,9483439223,royall_weddings@gmail.com
taj_we,Taj,9303920212,taj_west_end@gmail.com
le_blr,Le Meridien,8900123454,meridien_blr@gmail.com
she_blr,Sheraton,8907993932,sheraton_blr@gmail.com
itc_gard,ITC Gardenia,8080799543,itc_gard@gmail.com
zuri_kor,Zuri,9809092323,zuri_zuri@gmail.com
